000000001010_00000_000_00110_0010011    //PC= 0  addi $x6,$0,10
0000000_00110_00110_000_00110_0110011   //PC= 4  add $x6,$x6,$x6
0000000_00110_00110_000_00110_0110011   //PC= 8  add $x6,$x6,$x6
0000000_00110_00110_000_00110_0110011   //PC=12  add $x6,$x6,$x6
0000000_00110_00110_000_00110_0110011   //PC=16  add $x6,$x6,$x6
111111110000_00110_000_00111_0010011    //PC=20  addi $x7,$x6,-16
0000001_11100_11100_000_11100_0110011   //PC=24  mul $x28,$x28,$x28
0000000_00110_00000_010_00100_0100011   //PC=28  sw $x6,4($0)
000000000000_00101_010_11110_0000011    //PC=32  lw $x30,0($x5)
000000000010_00000_000_11100_0010011    //PC=36  addi $x28,$0,2
0000001_11100_11100_000_11100_0110011   //PC=40  mul $x28,$x28,$x28
0000001_11100_11100_000_11100_0110011   //PC=44  mul $x28,$x28,$x28
0000001_11100_11100_000_11100_0110011   //PC=48  mul $x28,$x28,$x28
0000001_11100_11100_000_11100_0110011   //PC=52  mul $x28,$x28,$x28
0000001_11100_11100_000_11100_0110011   //PC=56  mul $x28,$x28,$x28
0000000_00111_00000_010_00000_0100011   //PC=60  sw $x7,0($0)
111111111111_11110_000_11110_0010011    //PC=64  addi $x30,$x30,-1
111111111111_11110_000_11110_0010011    //PC=68  addi $x30,$x30,-1
111111111111_11110_000_11110_0010011    //PC=72  addi $x30,$x30,-1
111111111111_11110_000_11110_0010011    //PC=76  addi $x30,$x30,-1
111111111111_11110_000_11110_0010011    //PC=80  addi $x30,$x30,-1
0000000_00110_00110_111_11101_0110011   //PC=84  and $x29,$x6,$x6
000000001111_11110_000_11110_0010011    //PC=88  addi $x30,$x30,15
0000000_11110_00000_010_01100_0100011   //PC=92  sw $x30,12($0)
