Cycle:           3, Read Miss , Address: 00000000, Read Data : xxxxxxxx
Cycle:          16, Read Hit  , Address: 00000004, Read Data : ccccdddd
Cycle:          17, Read Hit  , Address: 00000008, Read Data : aaaabbbb
Cycle:          18, Read Hit  , Address: 0000000c, Read Data : 88889999
Cycle:          19, Read Hit  , Address: 00000010, Read Data : 66667777
Cycle:          20, Read Hit  , Address: 00000014, Read Data : 44445555
Cycle:          21, Read Hit  , Address: 00000018, Read Data : 22223333
Cycle:          22, Read Hit  , Address: 0000001c, Read Data : 00001111
Cycle:          32, Write Hit , Address: 00000000, Write Data: ffeeeeff
Cycle:          33, Write Hit , Address: 00000004, Write Data: ffccccdd
Cycle:          34, Write Hit , Address: 00000008, Write Data: ffaaaabb
Cycle:          35, Write Hit , Address: 0000000c, Write Data: ff888899
Cycle:          36, Write Hit , Address: 00000010, Write Data: 00666677
Cycle:          37, Write Hit , Address: 00000014, Write Data: 00444455
Cycle:          38, Write Hit , Address: 00000018, Write Data: 00222233
Cycle:          39, Write Hit , Address: 0000001c, Write Data: 00000011
Cycle:          40, Read Miss , Address: 00000020, Read Data : eeeeffff
Cycle:          53, Read Hit  , Address: 00000024, Read Data : 33332222
Cycle:          54, Read Hit  , Address: 00000028, Read Data : 55554444
Cycle:          55, Read Hit  , Address: 0000002c, Read Data : 77776666
Cycle:          56, Read Hit  , Address: 00000030, Read Data : eeeeffff
Cycle:          57, Read Hit  , Address: 00000034, Read Data : ccccdddd
Cycle:          58, Read Hit  , Address: 00000038, Read Data : aaaabbbb
Cycle:          59, Read Hit  , Address: 0000003c, Read Data : 88889999
Cycle:          68, Write Hit , Address: 00000020, Write Data: 00111100
Cycle:          69, Write Hit , Address: 00000024, Write Data: 00333322
Cycle:          70, Write Hit , Address: 00000028, Write Data: 00555544
Cycle:          71, Write Hit , Address: 0000002c, Write Data: 00777766
Cycle:          72, Write Hit , Address: 00000030, Write Data: ffeeeeff
Cycle:          73, Write Hit , Address: 00000034, Write Data: ffccccdd
Cycle:          74, Write Hit , Address: 00000038, Write Data: ffaaaabb
Cycle:          75, Write Hit , Address: 0000003c, Write Data: ff888899
Cycle:          76, Read Miss , Address: 00000040, Read Data : 11110000
Cycle:          89, Read Hit  , Address: 00000044, Read Data : ecfaecfa
Cycle:          90, Read Hit  , Address: 00000048, Read Data : ecfaecfa
Cycle:          91, Read Hit  , Address: 0000004c, Read Data : ecfaecfa
Cycle:          92, Read Hit  , Address: 00000050, Read Data : ecfaecfa
Cycle:          93, Read Hit  , Address: 00000054, Read Data : ecfaecfa
Cycle:          94, Read Hit  , Address: 00000058, Read Data : ecfaecfa
Cycle:          95, Read Hit  , Address: 0000005c, Read Data : ecfaecfa
Cycle:         104, Write Hit , Address: 00000040, Write Data: ffecfaec
Cycle:         105, Write Hit , Address: 00000044, Write Data: ffecfaec
Cycle:         106, Write Hit , Address: 00000048, Write Data: ffecfaec
Cycle:         107, Write Hit , Address: 0000004c, Write Data: ffecfaec
Cycle:         108, Write Hit , Address: 00000050, Write Data: ffecfaec
Cycle:         109, Write Hit , Address: 00000054, Write Data: ffecfaec
Cycle:         110, Write Hit , Address: 00000058, Write Data: ffecfaec
Cycle:         111, Write Hit , Address: 0000005c, Write Data: ffecfaec
